Zone,Tree ID #,Lat.,Long.,Map,Common Name,Botanical Name,Circum.,,DBH,Structure,Health,Planted By,Date,Hazard/Safety,Maintenance,Perf. By,Date,Notes
1. Memorial Garden,169,37.9880329873412,-84.5590120274573,,rough leaf dogwood,Cornus drummondii,,,,,,,"May, 2020",,,,,Reforest The Bluegrass @ Home donation
1. Memorial Garden,170,37.9879990406334,-84.5589019730687,,rough leaf dogwood,Cornus drummondii,,,,,,,"May, 2020",,,,,Reforest The Bluegrass @ Home donation
1. Memorial Garden,171,37.9878709651529,-84.5589629933238,,rough leaf dogwood,Cornus drummondii,,,,,,,"May, 2020",,,,,Reforest The Bluegrass @ Home donation
1. Memorial Garden,172,37.9880370106548,-84.5594410132616,,rough leaf dogwood,Cornus drummondii,,,,,,,"May, 2020",,,,,Reforest The Bluegrass @ Home donation
1. Memorial Garden,173,37.9882380086928,-84.5595580246299,,witch hazel,Hamamelis virginiana,,,,,,,"May, 2020",,,,,"Reforest The Bluegrass @ Home donation, container"
1. Memorial Garden,174,37.9882359970360,-84.5596539974212,,witch hazel,Hamamelis virginiana,,,,,,,"May, 2020",,,,,"Reforest The Bluegrass @ Home donation, container"
1. Memorial Garden,175,37.9880879726260,-84.5592840202152,,itea,Itea virginica,,,,,,,"April, 2021",,,,,Dropseed Nursery
1. Memorial Garden,176,37.9880919959396,-84.5592219941318,,ninebark,Physocarpus opulifolius,,,,,,,"April, 2021",,,,,Dropseed Nursery
1. Memorial Garden,177,37.9880889784544,-84.5592000335454,,itea,Itea virginica,,,,,,,"April, 2021",,,,,Dropseed Nursery
1. Memorial Garden,178,37.9880899842828,-84.5591769833117,,ninebark,Physocarpus opulifolius,,,,,,,"April, 2021",,,,,Dropseed Nursery
1. Memorial Garden,179,37.9881140403449,-84.5591599680483,,itea,Itea virginica,,,,,,,"April, 2021",,,,,Dropseed Nursery
1. Memorial Garden,180,37.9880769923329,-84.5591580402106,,itea,Itea virginica,,,,,,,"April, 2021",,,,,Dropseed Nursery
1. Memorial Garden,181,37.9880719631910,-84.5591530110687,,strawberry bush,Euonymous americana,,,,,,,"fall, 2019",,,,,Springhouse Gardens
1. Memorial Garden,182,37.9880670178681,-84.5591280329972,,strawberry bush,Euonymous americana,,,,,,,"fall, 2019",,,,,Springhouse Gardens
1. Memorial Garden,183,37.9880279581993,-84.5591789949685,,serviceberry,Amelanchier canadensis,,,,,,,"May, 2020",,,,,Reforest The Bluegrass @ Home donation
3. Front Lawn,184,37.9886720236390,-84.5594349782913,,witch hazel,Hamamelis virginiana,,,,,,,"fall, 2019",,,,,Springhouse Gardens
3. Front Lawn,185,37.9887400008738,-84.5595740340650,,hazelnut,Corylus americana,,,,,,,"fall, 2019",,,,,Trees Lexington! pocket nursery donation
3. Front Lawn,186,37.9888069722801,-84.5598399918526,,white oak,Quercus alba,,,,,,,"fall, 2019",,,,,Trees Lexington! pocket nursery donation
3. Front Lawn,187,37.9887890350073,-84.5598760340362,,bur oak,Quercus macrocarpa,,,,,,,"May, 2020",,,,,Reforest The Bluegrass @ Home donation
2. Woods,188,37.9889489617198,-84.5600330270826,,black haw viburnum,Viburnum prunifolium,,,,,,,"April, 2021",,,,,Dropseed Nursery
2. Woods,189,37.9889600258320,-84.5600730087608,,black haw viburnum,Viburnum prunifolium,,,,,,,"April, 2021",,,,,Dropseed Nursery
2. Woods,190,37.9889679886400,-84.5599860046058,,spicebush,Lindera benzoin,,,,,,,"April, 2021",,,,,Dropseed Nursery
2. Woods,191,37.9889730177819,-84.5600669737905,,black cherry,Prunus serotina,,,,,,,"May, 2020",,,,,Reforest The Bluegrass @ Home donation
2. Woods,192,37.9889310244470,-84.5601109787821,,spicebush,Lindera benzoin,,,,,,,"April, 2021",,,,,Dropseed Nursery
2. Woods,193,37.9888890311121,-84.5601580012589,,black haw viburnum,Viburnum prunifolium,,,,,,,"April, 2021",,,,,Dropseed Nursery
2. Woods,194,37.9888349678367,-84.5602300018072,,black haw viburnum,Viburnum prunifolium,,,,,,,"April, 2021",,,,,Dropseed Nursery
2. Woods,195,37.9889010172337,-84.5602659601718,,spicebush,Lindera benzoin,,,,,,,"April, 2021",,,,,Dropseed Nursery
2. Woods,196,37.9887959919869,-84.5602709893137,,spicebush,Lindera benzoin,,,,,,,"April, 2021",,,,,Dropseed Nursery
2. Woods,197,37.9887059703469,-84.5602880045771,,black haw viburnum,Viburnum prunifolium,,,,,,,"April, 2021",,,,,Dropseed Nursery
2. Woods,198,37.9887799825519,-84.5601620245724,,black haw viburnum,Viburnum prunifolium,,,,,,,"April, 2021",,,,,Dropseed Nursery
2. Woods,199,37.9890369717031,-84.5606330037117,,river birch,Betula negra,,,,,,,"May, 2020",,,,,Reforest The Bluegrass @ Home donation
2. Woods,200,37.9893200285732,-84.5602910220623,,bladdernut,Staphylea trifolia,,,,,,,"April, 2021",,,,,Dropseed Nursery
2. Woods,201,37.9893460124731,-84.5602419879287,,bladdernut,Staphylea trifolia,,,,,,,"April, 2021",,,,,Dropseed Nursery
2. Woods,202,37.9893119819462,-84.5602369587868,,buttonbush,Cephalanthus occidentalis,,,,,,,"May, 2021",,,,,Wild Ones grant
2. Woods,203,37.9893119819462,-84.5602369587868,,buttonbush,Cephalanthus occidentalis,,,,,,,"May, 2021",,,,,Wild Ones grant
2. Woods,204,37.9893119819462,-84.5602369587868,,buttonbush,Cephalanthus occidentalis,,,,,,,"May, 2021",,,,,Wild Ones grant
2. Woods,205,37.9893050249665,-84.5598959829658,,northern red oak,Quercus rubra,,,,,,,"May, 2020",,,,,Reforest The Bluegrass @ Home donation
2. Woods,206,37.9892760235816,-84.5599440112710,,sycamore,Platanus occidentalis,,,,,,,"May, 2020",,,,,Reforest The Bluegrass @ Home donation
